id,category,name_hr,name_en,name_zh,description_hr,description_en,description_zh,price,image,spicy_level,is_vegetarian
1,Appetizer,Salata od hobotnice,Adriatic Octopus Salad,亚得里亚海八爪鱼沙拉,"Svježa **jadranska hobotnica** s krumpirom, kapulom, peršinom i domaćim maslinovim uljem.","Fresh **Adriatic octopus** with potatoes, onions, parsley, and homemade olive oil.","新鲜**亚得里亚海八爪鱼**配马铃薯、洋葱、欧芹和自制橄榄油。","15.00",hobotnica_salata.jpg,0,false
2,Appetizer,Soparnik,Soparnik Savory Pie,索帕尼克咸馅饼,"Tradicionalno jelo od **blitve**, mlade kapule i peršina u tankom tijestu, pečeno na kominu.","Traditional **chard-filled** savory pie with spring onions and parsley, baked on an open hearth.","传统**甜菜根**春葱香菜馅饼，在开放式壁炉上烤制而成。","8.00",soparnik.jpg,0,true
3,Main,Miješano meso \"Srce Vatreno\",\"Srce Vatreno\" Mixed Grill Platter,“烈火之心”经典烤肉拼盘,"Bogata plata s roštilja: **ćevapi, pljeskavica, ražnjići, carsko meso i domaće kobasice**, posluženi s pomfritom i lukom.","A rich grill platter: **ćevapi, pljeskavica, pork skewers, pork belly, and domestic sausages**, served with fries and onions.","丰盛的烤肉拼盘：**烤肉卷（Ćevapi）、肉饼（Pljeskavica）、猪肉串、五花肉和本地香肠**，配薯条和洋葱。","26.00",mijesano_meso.jpg,0,false
4,Main,Ćevapi u somunu,Traditional Ćevapi in Somun,传统克罗地亚烤肉卷配口袋饼,"Domaći **ćevapi od mljevene junetine** u toplom somunu s kajmakom i ajvarom.","Homemade **minced beef grilled rolls** in warm somun flatbread, served with kajmak cream and ajvar.","热口袋饼夹自制**烤牛肉卷**，配凯马克干酪（Kajmak）和爱瓦尔辣酱（Ajvar）。","13.50",cevapi.jpg,0,false
5,Main,Gurmanska Pljeskavica,Stuffed Gourmet Pljeskavica,芝心美食肉饼,"Velika **pljeskavica punjena sirom** s roštilja, poslužena s mladim krumpirom i lukom.","Large grilled beef **patty stuffed with cheese**, served with baby potatoes and onions.","内嵌**奶酪的大块烤牛肉饼**，配小土豆和洋葱。","15.50",pljeskavica.jpg,0,false
6,Main,Grilani Brancin ili Orada,Grilled Sea Bass or Sea Bream,香烤海鲈鱼 or 金头鲷,"Svježi cijeli **brancin ili orada** na žaru s dalmatinskim prilogom (blitva na lešo s krumpirom).","Fresh whole **sea bass or sea bream** grilled over embers, served with Dalmatian style chard and potatoes.","碳火香烤整条新鲜**海鲈鱼或金头鲷**，配达尔马提亚风味马铃薯拌甜菜。","24.00",brancin_orada.jpg,0,false
7,Main,Svinjski ražnjići,Grilled Pork Skewers,炭烤小猪肉串,"Sočni **svinjski ražnjići** s roštilja s grilanim povrćem i ajvarom.","Juicy grilled **pork skewers** served with grilled vegetables and ajvar.","鲜嫩炭烤**小猪肉串**，配烤蔬菜和爱瓦尔辣酱。","18.00",raznjici.jpg,0,false
8,Appetizer,Goveđa juha s jetrenim noklicama,Beef Soup with Liver Noodles,肝泥面牛肉汤,"**Tradicionalna bistra goveđa juha** od sporo kuhanog junećeg i goveđeg mesa s korjenastim povrćem. Poslužuje se s ručno kosanim *domaćim rezancima od jetrica* i svježim peršinom.","**Traditional clear beef broth** slowly simmered with root vegetables. Served with hand-pressed *house-made liver noodles* and fresh parsley.","**传统清牛肉汤**，加入根茎蔬菜慢火熬制。配以手作*自制肝泥面*和新鲜欧芹。","6.50",beef_soup.jpg,0,false
9,Appetizer,Juha od vrganja u krušnoj zdjelici,Porcini Mushroom Soup in a Bread Bowl,面包碗牛肝菌汤,"**Gusta i kremasta juha** od mirisnih šumskih vrganja, obogaćena s malo vrhnja i svježim začinskim biljem. Poslužena na jedinstven način u *jestivoj zdjelici od svježe pečenog kruha*.","**Rich and creamy soup** made from aromatic wild porcini mushrooms, finished with cream and fresh herbs. Served in a *freshly baked edible bread bowl*.","**浓郁奶油牛肝菌汤**，精选野生牛肝菌配以新鲜香草，装在*刚出炉的食用面包碗*中盛装。","8.50",porcini_soup.jpg,0,true
10,Appetizer,Domaća salata od kupusa,Traditional Cabbage Salad,传统腌卷心菜沙拉,"**Domaći ukiseljeni kupus** pripremljen prema tradicionalnoj recepturi. Hrskav, blago kiselkast i začinjen s malo domaćeg ulja i papra - *savršen zimski klasik*.","**Traditional house-pickled cabbage** prepared according to a time-honored recipe. Crisp, tangy, and dressed with local oil and pepper - *a perfect classic side*.","根据传统秘方**自制腌酸卷心菜**。爽脆微酸，伴有当地油脂和胡椒调味——*完美的经典配菜*。","4.50",cabbage_salad.jpg,0,true
